panel_id,utility_id_eia,display_name,state,year,ownership,reporting_standard,reliability_customers,routine_saidi_minutes,included_primary_model,reliability_row_status,analysis_excluded_fields,eia_source_file_url
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2013,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2014,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2015,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2016,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2017,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2018,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2019,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2020,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612020.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2021,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612021.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2022,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612022.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2023,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612023.zip
DOM_NY_FISHERS,6369,Fishers Island Electric,NY,2024,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2013,DOM,ieee_standard,29232.0,111.82,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2014,DOM,ieee_standard,29323.0,91.92,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2015,DOM,ieee_standard,29412.0,55.18,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2016,DOM,ieee_standard,29535.0,88.23,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2017,DOM,ieee_standard,29699.0,74.8,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2018,DOM,ieee_standard,29876.0,107.965,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
DOM_MA_FITCHBURG,6374,Fitchburg Gas & Electric Light,MA,2019,DOM,ieee_standard,30006.0,83.56,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
